image_path,hp_folder,head_rot_x,head_rot_y,head_rot_z,head_pos_x,head_pos_y,head_pos_z,look_at_x,look_at_y,look_at_z,left_iris_x,left_iris_y,left_pupil_x,left_pupil_y,left_cornea_x,left_cornea_y,left_globe_x,left_globe_y,right_iris_x,right_iris_y,right_pupil_x,right_pupil_y,right_cornea_x,right_cornea_y,right_globe_x,right_globe_y
User_01/Grid_15/HP_001/01.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,-11.0,0.0,1477.988,610.2001,1485.659,605.898438,1455.706,622.6952,1438.30835,632.451538,885.8164,608.959839,888.7343,603.7831,877.3621,623.9585,870.783142,635.629761
User_01/Grid_15/HP_001/02.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,-11.0,0.0,1451.62073,606.6892,1454.20715,601.6836,1444.13147,621.1825,1438.30835,632.451538,857.8529,605.2521,855.333252,599.3329,865.134766,622.359863,870.783142,635.629761
User_01/Grid_15/HP_001/03.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,-11.0,0.0,1421.05493,605.7378,1417.69641,600.537842,1430.768,620.776733,1438.30835,632.451538,824.7431,603.973,815.7645,597.7992,850.6795,621.806763,870.783142,635.629761
User_01/Grid_15/HP_001/04.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,-5.5,0.0,1420.72034,620.8718,1417.2959,618.617065,1430.62292,627.3915,1438.30835,632.451538,824.184937,620.193,815.092041,617.180664,850.4412,628.891,870.783142,635.629761
User_01/Grid_15/HP_001/05.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,-5.5,0.0,1451.62451,621.428,1454.2124,619.285645,1444.13232,627.6304,1438.30835,632.451538,857.8392,620.8335,855.3156,617.948853,865.129944,629.1677,870.783142,635.629761
User_01/Grid_15/HP_001/06.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,-5.5,0.0,1478.21912,623.297852,1485.93616,621.527954,1455.806,628.438354,1438.30835,632.451538,886.0998,622.7339,889.074,620.229858,877.4852,629.987061,870.783142,635.629761
User_01/Grid_15/HP_001/07.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,0.0,0.0,1477.869,636.6207,1485.51428,637.4264,1455.65686,634.279663,1438.30835,632.451538,885.814941,636.8031,888.732361,637.030762,877.361633,636.1433,870.783142,635.629761
User_01/Grid_15/HP_001/08.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,0.0,0.0,1451.62219,636.493042,1454.208,637.2782,1444.13318,634.2197,1438.30835,632.451538,857.8317,636.871,855.308167,637.1129,865.125366,636.172,870.783142,635.629761
User_01/Grid_15/HP_001/09.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,0.0,0.0,1421.21545,636.34436,1417.88953,637.1019,1430.83655,634.1533,1438.30835,632.451538,824.647766,636.953735,815.650635,637.2118,850.6375,636.207764,870.783142,635.629761
User_01/Grid_15/HP_001/10.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,5.5,0.0,1422.44128,650.9503,1419.35925,654.5437,1431.367,640.5442,1438.30835,632.451538,826.020264,652.792847,817.3051,656.1344,851.2216,643.1301,870.783142,635.629761
User_01/Grid_15/HP_001/11.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,5.5,0.0,1451.61462,650.729,1454.19458,654.273438,1444.13416,640.4541,1438.30835,632.451538,857.830566,652.1146,855.3106,655.3219,865.121155,642.835938,870.783142,635.629761
User_01/Grid_15/HP_001/12.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,5.5,0.0,1476.99512,649.3314,1484.46265,652.5897,1455.28308,639.858032,1438.30835,632.451538,885.005,650.3313,887.7626,653.181763,877.0102,642.0668,870.783142,635.629761
User_01/Grid_15/HP_001/13.png,HP_001,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,11.0,0.0,1475.736,660.7881,1482.94873,666.249,1454.74316,644.894531,1438.30835,632.451538,883.793335,662.649658,886.311951,667.8806,876.4835,647.46875,870.783142,635.629761
